block,run_id,timestamp,crs_strategy,workflow,extent_size,run_type,resolution_m,dataset,dem_format,dem_layout,asset_bytes,queue_time,processing_time,job_execution_time,download_time,total_time,preprocessing_time,credits,cpu_seconds,input_pixels_mp,output_crs,local_resampling,git_commit,status,error,mae,rmse,anfragen,uebertragen
C,1052,2026-08-26T12:48:33.538036,onthefly,merge_add,small,cold,10.0,dem,,,,41.290787,128.387511,173.02446484565735,11.143630266189575,185.84506130218506,,4.0,276.0,4.527669906616211,32633,,e91de86abb60370d6583580fcd1ae960798fb728,success,,1.5367893272878606,2.214078142994734,0,
C,1053,2026-08-26T12:50:23.751387,onthefly,merge_add,small,hot,10.0,dem,,,,36.029634,61.884207,100.22624683380127,7.215046644210815,108.54650449752808,,4.0,108.0,4.527669906616211,32633,,e91de86abb60370d6583580fcd1ae960798fb728,success,,1.5367893272878606,2.214078142994734,0,
C,1054,2026-08-26T12:52:23.250258,onthefly,merge_add,small,hot,10.0,dem,,,,43.753943,61.650113,113.29364705085754,3.770843744277954,118.32215785980225,,4.0,72.0,4.527669906616211,32633,,e91de86abb60370d6583580fcd1ae960798fb728,success,,1.5367893272878606,2.214078142994734,0,
C,1055,2026-08-26T12:54:34.863277,onthefly,merge_add,small,hot,10.0,dem,,,,46.096385,72.393769,121.23568868637085,8.209224700927734,130.47801065444946,,4.0,162.0,4.527669906616211,32633,,e91de86abb60370d6583580fcd1ae960798fb728,success,,1.5367893272878606,2.214078142994734,0,
C,1056,2026-08-26T12:57:23.364425,onthefly,merge_add,small,hot,10.0,dem,,,,36.317099,123.486511,161.8028380870819,4.584632396697998,167.33317637443542,,4.0,162.0,4.527669906616211,32633,,e91de86abb60370d6583580fcd1ae960798fb728,success,,1.5367893272878606,2.214078142994734,0,
C,1057,2026-08-26T13:02:31.961900,local_preprocessing,merge_add,small,cold,10.0,dem,gtiff,cog,1070111,51.996484,123.19662,177.87802171707153,11.2890145778656,192.33631229400635,1.898850440979004,4.0,162.0,4.752197265625,32633,bilinear,e91de86abb60370d6583580fcd1ae960798fb728,success,,0.0006777327284150244,0.0009360190248742766,36,1093458.0
C,1058,2026-08-26T13:08:36.010215,local_preprocessing,merge_add,small,hot,10.0,dem,gtiff,cog,1070111,36.492543,128.204038,173.38397216796875,11.017195224761963,187.40417003631592,1.6992855072021484,4.0,246.0,4.752197265625,32633,bilinear,e91de86abb60370d6583580fcd1ae960798fb728,success,,0.0006777327284150244,0.0009360190248742766,36,1093458.0
C,1059,2026-08-26T13:12:50.997887,local_preprocessing,merge_add,small,hot,10.0,dem,gtiff,cog,1070111,46.109724,77.382612,132.65056347846985,6.574316024780273,142.37729144096375,1.6706442832946777,4.0,90.0,4.752197265625,32633,bilinear,e91de86abb60370d6583580fcd1ae960798fb728,success,,0.0006777327284150244,0.0009360190248742766,36,1093458.0
C,1060,2026-08-26T13:17:38.529905,local_preprocessing,merge_add,small,hot,10.0,dem,gtiff,cog,1070111,46.355591,112.844221,162.14060473442078,4.751554727554321,169.94665956497192,1.8268544673919678,4.0,108.0,4.752197265625,32633,bilinear,e91de86abb60370d6583580fcd1ae960798fb728,success,,0.0006777327284150244,0.0009360190248742766,36,1093458.0
C,1061,2026-08-26T13:22:56.602217,local_preprocessing,merge_add,small,hot,10.0,dem,gtiff,cog,1070111,46.481738,128.549036,177.77063059806824,4.749745845794678,185.32594990730286,1.6780343055725098,4.0,162.0,4.752197265625,32633,bilinear,e91de86abb60370d6583580fcd1ae960798fb728,success,,0.0006777327284150244,0.0009360190248742766,36,1093458.0
C,1062,2026-08-26T13:51:10.787680,local_reference,merge_add,large,cold,10.0,dem,,,,,,,,436.1378197669983,436.1378197669983,,,,,bilinear,e91de86abb60370d6583580fcd1ae960798fb728,success,,,,0,
C,1063,2026-08-26T13:56:56.405783,onthefly,merge_add,large,cold,10.0,dem,,,,20.750743,216.241096,241.03056859970093,100.3456358909607,342.8619508743286,,5.0,594.0,537.5597229003906,32633,,e91de86abb60370d6583580fcd1ae960798fb728,success,,2.0270565010579187,155.7782110594635,0,
C,1064,2026-08-26T14:02:36.215717,onthefly,merge_add,large,hot,10.0,dem,,,,51.479949,181.374946,240.46746945381165,96.23583769798279,337.80551743507385,,5.0,486.0,537.5597229003906,32633,,e91de86abb60370d6583580fcd1ae960798fb728,success,,2.0270565010579187,155.7782110594635,0,
C,1065,2026-08-26T14:08:07.254305,onthefly,merge_add,large,hot,10.0,dem,,,,30.922435,200.271861,239.88428473472595,88.50128555297852,329.55667328834534,,5.0,684.0,537.5597229003906,32633,,e91de86abb60370d6583580fcd1ae960798fb728,success,,2.0270565010579187,155.7782110594635,0,
C,1066,2026-08-26T14:14:12.368127,onthefly,merge_add,large,hot,10.0,dem,,,,20.641796,242.62238,266.05247020721436,95.93055653572083,363.5943078994751,,4.0,405.0,537.5597229003906,32633,,e91de86abb60370d6583580fcd1ae960798fb728,success,,2.0270565010579187,155.7782110594635,0,
C,1067,2026-08-26T14:20:09.049480,onthefly,merge_add,large,hot,10.0,dem,,,,57.722376,191.483324,252.5171012878418,101.44296073913574,355.20977759361267,,4.0,375.0,537.5597229003906,32633,,e91de86abb60370d6583580fcd1ae960798fb728,success,,2.0270565010579187,155.7782110594635,0,
