backend,metric,n,min,max,average,stddev
Earth Engine,submit_time [seconds],9,0.15350627899169922,0.1696796417236328,0.16040147675408256,0.00571947822988423
Earth Engine,job_execution_time [seconds],9,7.633782386779785,19.15748953819275,13.975713411966959,5.661216126350195
Earth Engine,download_time [seconds],9,0.26607513427734375,0.3611717224121094,0.31410688824123806,0.03141987493332125
Earth Engine,total_time [seconds],9,8.273506879806519,19.81866192817688,14.697372674942017,5.644329311379179
Earth Engine,processing_time [seconds],9,7.524818,19.037274,13.851738777777777,5.658258184356065
Earth Engine,tiff_count [files],9,1.0,1.0,1.0,0.0
CDSE,submit_time [seconds],10,0.3733212947845459,2.481572151184082,0.8635184049606324,0.7716829636886466
CDSE,job_execution_time [seconds],10,225.08720231056213,436.63359093666077,299.07064855098724,81.0898001940869
CDSE,download_time [seconds],10,7.9336488246917725,13.042853355407715,10.276311492919922,1.338708844899882
CDSE,total_time [seconds],10,236.38209295272827,448.66226077079773,311.1502300739288,80.99876309518069
CDSE,queue_time [seconds],2,83.964832,91.741989,87.8534105,3.8885785000000013
CDSE,processing_time [seconds],10,120.521351,361.570432,198.57486839999999,71.93436308833331
CDSE,tiff_count [files],10,1.0,1.0,1.0,0.0
VITO,submit_time [seconds],8,0.5107378959655762,0.883246898651123,0.6777759194374084,0.15152661001152573
VITO,job_execution_time [seconds],8,255.09340906143188,351.2422490119934,276.94927829504013,31.00584838900314
VITO,download_time [seconds],8,2.166987657546997,4.069330930709839,3.4559965431690216,0.6207699625558966
VITO,total_time [seconds],8,259.4359838962555,357.32011556625366,282.1838591694832,31.221838741864847
VITO,queue_time [seconds],8,53.678976,84.66386,65.186224625,14.824142938748153
VITO,processing_time [seconds],8,150.587936,240.926343,188.156655875,24.98535929309496
VITO,tiff_count [files],8,1.0,1.0,1.0,0.0
openEO Platform,submit_time [seconds],7,0.779808521270752,2.4713103771209717,1.4760210173470634,0.6031292689649413
openEO Platform,job_execution_time [seconds],7,234.67523312568665,294.27493476867676,279.17482910837447,20.934691643998022
openEO Platform,download_time [seconds],7,1.8571538925170898,4.685449600219727,2.6237526621137346,0.897548141155167
openEO Platform,total_time [seconds],7,239.11682438850403,300.8205134868622,284.648099899292,21.03369208097435
openEO Platform,queue_time [seconds],7,38.363445,64.855578,56.49413871428572,8.45135616221288
openEO Platform,processing_time [seconds],7,151.782849,214.098319,203.3376135714286,21.112880724981014
openEO Platform,tiff_count [files],7,1.0,1.0,1.0,0.0
