backend,metric,n,min,max,average,stddev
Earth Engine,submit_time [seconds],12,0.14433717727661133,0.20768022537231445,0.15884761015574136,0.016237685392656975
Earth Engine,job_execution_time [seconds],12,7.630030393600464,7.6937737464904785,7.652672270933787,0.01638786349710623
Earth Engine,download_time [seconds],12,0.23946261405944824,0.3219320774078369,0.2777377963066101,0.026954000768741708
Earth Engine,total_time [seconds],12,8.239880800247192,8.47634768486023,8.322703421115875,0.06214366322192683
Earth Engine,processing_time [seconds],12,7.524202,7.547999,7.527647916666666,0.006326585248751667
Earth Engine,tiff_count [files],12,1.0,1.0,1.0,0.0
CDSE,submit_time [seconds],13,0.37938475608825684,0.7703239917755127,0.4769290593954233,0.09971441321702594
CDSE,job_execution_time [seconds],13,256.0769488811493,572.1177072525024,336.73642402428845,82.1306134772825
CDSE,download_time [seconds],13,131.05840730667114,161.26205968856812,147.9487681205456,9.809481646123327
CDSE,total_time [seconds],13,389.98277854919434,734.4924376010895,486.11027893653284,85.44969519700216
CDSE,queue_time [seconds],2,61.516284,91.773927,76.6451055,15.1288215
CDSE,processing_time [seconds],13,181.135077,331.420355,248.66872815384613,44.253803157300126
CDSE,tiff_count [files],13,24.0,24.0,24.0,0.0
VITO,submit_time [seconds],10,0.5420856475830078,0.8646867275238037,0.6339454889297486,0.10520378016638118
VITO,job_execution_time [seconds],10,196.0549612045288,319.2713942527771,255.1472699165344,35.97924962734872
VITO,download_time [seconds],10,31.72781252861023,43.42115545272827,37.71628208160401,3.4772034576441193
VITO,total_time [seconds],10,239.62532544136047,358.9879128932953,294.53606114387514,34.260680040119205
VITO,queue_time [seconds],10,28.33061,84.166606,57.1559606,16.71344414383055
VITO,processing_time [seconds],10,120.416265,210.768691,173.6875038,29.369866405373095
VITO,tiff_count [files],10,24.0,24.0,24.0,0.0
openEO Platform,submit_time [seconds],7,0.9984400272369385,2.4898617267608643,1.9459307874952043,0.42912897019307933
openEO Platform,job_execution_time [seconds],7,230.3566975593567,388.17895317077637,278.6620307990483,55.44646428698148
openEO Platform,download_time [seconds],7,35.16980504989624,43.74233675003052,38.02846097946167,2.9915605814434527
openEO Platform,total_time [seconds],7,268.66227102279663,427.2475507259369,319.7947325365884,54.51691248642489
openEO Platform,queue_time [seconds],7,37.134911,116.013694,63.030797285714286,28.965729594189284
openEO Platform,processing_time [seconds],7,151.840616,275.240998,194.3640812857143,37.14333018679296
openEO Platform,tiff_count [files],7,24.0,24.0,24.0,0.0
