backend,metric,n,min,max,average,stddev
Earth Engine,submit_time [seconds],7,0.16821646690368652,0.20383024215698242,0.1922186783381871,0.010420119802966825
Earth Engine,job_execution_time [seconds],7,7.629546403884888,7.653807163238525,7.643086331231253,0.00936315627490235
Earth Engine,download_time [seconds],7,0.15114212036132812,0.18544602394104004,0.1692718437739781,0.012270172451432937
Earth Engine,total_time [seconds],7,8.143723487854004,13.273557901382446,8.93426592009408,1.7717563207278517
Earth Engine,processing_time [seconds],7,7.523881,7.530052,7.525973571428572,0.0018717982077704218
Earth Engine,tiff_count [files],7,1.0,1.0,1.0,0.0
CDSE,submit_time [seconds],8,0.43318629264831543,2.4811320304870605,0.7826294302940369,0.6541482834975066
CDSE,job_execution_time [seconds],8,225.9095160961151,467.7355377674103,294.4070794582367,71.71141332318824
CDSE,download_time [seconds],8,2.0633463859558105,4.598005533218384,3.465283691883087,0.6988121494742539
CDSE,total_time [seconds],8,231.26972222328186,472.89339566230774,299.6387887895107,71.85853779580191
CDSE,queue_time [seconds],2,72.832389,114.442444,93.6374165,20.805027499999994
CDSE,processing_time [seconds],7,120.461201,392.764638,181.17970471428572,88.45040325016315
CDSE,tiff_count [files],8,1.0,1.0,1.0,0.0
