_folder,_backend,download_time [seconds],job_execution_time [seconds],processing_time [seconds],queue_time [seconds],submit_time [seconds],tiff_count [files],total_time [seconds]
earthengine_openeo_org_vienna_10km_2018_earthengine_20250621151000,Earth Engine,0.27447986602783203,7.654803991317749,7.524674,,0.1507401466369629,1,8.329604625701904
earthengine_openeo_org_vienna_10km_2018_earthengine_20250621171553,Earth Engine,0.2552509307861328,7.647971153259277,7.526454,,0.15522551536560059,1,8.308828592300415
earthengine_openeo_org_vienna_10km_2018_earthengine_20250621204007,Earth Engine,0.29846763610839844,7.658873558044434,7.529851,,0.17009186744689941,1,8.407510042190552
earthengine_openeo_org_vienna_10km_2018_earthengine_20250622033405,Earth Engine,0.22930097579956055,7.637468338012695,7.52723,,0.1615750789642334,1,8.316992282867432
earthengine_openeo_org_vienna_10km_2018_earthengine_20250623151002,Earth Engine,0.2813119888305664,7.642251253128052,7.525179,,0.1285719871520996,1,8.268830299377441
earthengine_openeo_org_vienna_10km_2018_earthengine_20250623181001,Earth Engine,0.27074718475341797,7.681272745132446,7.524228,,0.13155698776245117,1,8.2887704372406
earthengine_openeo_org_vienna_10km_2018_earthengine_20250623211002,Earth Engine,0.2585742473602295,7.629992961883545,7.524057,,0.15121173858642578,1,8.260259628295898
earthengine_openeo_org_vienna_10km_2018_earthengine_20250624001001,Earth Engine,0.2712740898132324,7.63248085975647,7.524347,,0.15611600875854492,1,8.296664953231812
earthengine_openeo_org_vienna_10km_2018_earthengine_20250624031002,Earth Engine,0.2990717887878418,7.6710076332092285,7.529367,,0.16803526878356934,1,8.403712749481201
earthengine_openeo_org_vienna_10km_2018_earthengine_20250624061002,Earth Engine,0.23519277572631836,7.652776718139648,7.523412,,0.13211417198181152,1,8.25908899307251
earthengine_openeo_org_vienna_10km_2018_earthengine_20250624091002,Earth Engine,0.2849714756011963,7.653744459152222,7.530849,,0.15389776229858398,1,8.35178017616272
earthengine_openeo_org_vienna_10km_2018_earthengine_20250624121002,Earth Engine,0.3051331043243408,7.650657415390015,7.527445,,0.14116358757019043,1,8.322951078414917
openeo_dataspace_copernicus_eu_vienna_10km_2018_cdse_20250621150014,CDSE,137.1321668624878,376.1092047691345,301.46574,,0.3935377597808838,24,515.042489528656
openeo_dataspace_copernicus_eu_vienna_10km_2018_cdse_20250621170753,CDSE,131.80369663238525,345.6164674758911,241.0521,83.975621,0.5069608688354492,24,478.9967122077942
openeo_dataspace_copernicus_eu_vienna_10km_2018_cdse_20250621203121,CDSE,138.842449426651,315.4627511501312,266.543917,,0.44232916831970215,24,455.75153517723083
openeo_dataspace_copernicus_eu_vienna_10km_2018_cdse_20250622032411,CDSE,136.5125114917755,378.153103351593,301.635076,,0.5045876502990723,24,516.1298668384552
openeo_dataspace_copernicus_eu_vienna_10km_2018_cdse_20250623150002,CDSE,127.38973951339722,437.3335726261139,331.679764,,0.5469305515289307,24,566.0478990077972
openeo_dataspace_copernicus_eu_vienna_10km_2018_cdse_20250623180002,CDSE,144.83709692955017,589.1571946144104,331.887852,,0.5315244197845459,24,735.5232086181641
openeo_dataspace_copernicus_eu_vienna_10km_2018_cdse_20250623210001,CDSE,135.59692311286926,708.2939028739929,572.776419,,0.4167978763580322,24,845.2364223003387
openeo_dataspace_copernicus_eu_vienna_10km_2018_cdse_20250624000002,CDSE,126.08315396308899,405.85825395584106,301.372878,91.713807,0.4476339817047119,24,533.3622286319733
openeo_dataspace_copernicus_eu_vienna_10km_2018_cdse_20250624030001,CDSE,119.94381380081177,350.4016315937042,271.354179,,0.32584214210510254,24,471.5415804386139
