backend,metric,n,min,max,average,stddev
Earth Engine,submit_time [seconds],27,0.14380884170532227,0.20383024215698242,0.1653214560614692,0.018048819523202267
Earth Engine,job_execution_time [seconds],27,7.629546403884888,19.264442920684814,8.076828100063183,2.1940967085437397
Earth Engine,download_time [seconds],27,0.15114212036132812,0.39604926109313965,0.26593772570292157,0.06580118508300273
Earth Engine,total_time [seconds],27,8.143723487854004,19.873476266860962,8.912038803100586,2.346504434156961
Earth Engine,processing_time [seconds],27,7.523327,19.150376,7.956776037037037,2.195247001350088
Earth Engine,tiff_count [files],27,1.0,1.0,1.0,0.0
CDSE,submit_time [seconds],26,0.35462141036987305,2.4811320304870605,0.6152341824311477,0.49034406167561945
CDSE,job_execution_time [seconds],26,225.17802095413208,467.7355377674103,306.45857652334064,68.92225534053236
CDSE,download_time [seconds],26,2.0633463859558105,135.88624453544617,60.50755334817446,58.9882661268872
CDSE,total_time [seconds],26,231.26972222328186,521.5221002101898,368.52639908056994,83.72786047708561
CDSE,queue_time [seconds],3,72.832389,174.633063,120.63596533333333,41.790063305315456
CDSE,processing_time [seconds],25,120.461201,392.764638,204.3657594,65.01580685900822
CDSE,tiff_count [files],26,1.0,22.0,10.692307692307692,10.468888820505004
VITO,submit_time [seconds],16,0.44208383560180664,0.7848577499389648,0.5697216838598251,0.07913299430797792
VITO,job_execution_time [seconds],16,196.5252342224121,499.9502213001251,277.96177181601524,63.234729389364404
VITO,download_time [seconds],16,2.6314027309417725,36.64400792121887,23.209707900881767,13.188358984026634
VITO,total_time [seconds],16,232.30897426605225,506.63242173194885,302.6816163659096,59.53451657365053
VITO,queue_time [seconds],16,11.340049,302.483487,69.5427506875,62.033420265620755
VITO,processing_time [seconds],16,150.481042,210.9207,185.52622,21.391687350012397
VITO,tiff_count [files],16,1.0,22.0,15.4375,9.733760514313058
openEO Platform,submit_time [seconds],14,0.8435852527618408,3.0315022468566895,1.8168361697878157,0.7282884405172149
openEO Platform,job_execution_time [seconds],14,232.17016053199768,412.06246757507324,283.5342767579215,54.19388493827197
openEO Platform,download_time [seconds],14,4.145808696746826,36.04900550842285,25.41512371812548,11.250120587740025
openEO Platform,total_time [seconds],14,240.61221647262573,451.05862379074097,312.0095507417406,55.16416003161546
openEO Platform,queue_time [seconds],14,29.677131,94.12951,51.13024985714286,19.893141864802523
openEO Platform,processing_time [seconds],14,151.652737,332.62668,206.44628400000002,50.95461916472881
openEO Platform,tiff_count [files],14,1.0,22.0,17.5,8.616843969807043
