backend,metric,n,min,max,average,stddev
Earth Engine,submit_time [seconds],13,0.14249300956726074,0.16465449333190918,0.1542960497049185,0.006192164476079553
Earth Engine,job_execution_time [seconds],13,7.629283905029297,19.013550281524658,8.521728992462158,3.0287636913823803
Earth Engine,download_time [seconds],13,0.24010753631591797,0.31619954109191895,0.2753123870262733,0.02337975972262762
Earth Engine,total_time [seconds],13,8.26364278793335,19.70522141456604,9.202268857222338,3.0328211616477887
Earth Engine,processing_time [seconds],13,7.524094,18.885392,8.399547307692307,3.027003018382053
Earth Engine,tiff_count [files],13,1.0,1.0,1.0,0.0
CDSE,submit_time [seconds],12,0.349534273147583,0.7355787754058838,0.5084678530693054,0.08718903470306312
CDSE,job_execution_time [seconds],12,226.16475868225098,472.1567404270172,312.26127930482227,73.34742274222081
CDSE,download_time [seconds],12,129.46892166137695,163.71425914764404,143.82861932118735,10.121807159309526
CDSE,total_time [seconds],12,385.71625685691833,637.190327167511,457.50102323293686,73.60038802637918
CDSE,queue_time [seconds],3,61.591472,102.703108,85.339323,17.380235473441108
CDSE,processing_time [seconds],11,150.667154,307.728917,215.2268847272727,42.147524908944675
CDSE,tiff_count [files],12,24.0,24.0,24.0,0.0
VITO,submit_time [seconds],10,0.4865250587463379,0.7742416858673096,0.5904268741607666,0.08472420244519326
VITO,job_execution_time [seconds],10,226.12079620361328,319.79794096946716,263.34891829490664,30.23061892425855
VITO,download_time [seconds],10,31.26284432411194,39.1115939617157,36.32602760791779,2.4804981200383116
VITO,total_time [seconds],10,262.70217871665955,360.1685652732849,301.24007029533385,30.941057849886455
VITO,queue_time [seconds],10,28.29548,84.111896,60.28708770000001,17.228020796348193
VITO,processing_time [seconds],10,150.45808,241.832841,174.29731959999998,29.660377242992404
VITO,tiff_count [files],10,24.0,24.0,24.0,0.0
openEO Platform,submit_time [seconds],9,1.2336692810058594,2.537869691848755,1.8223488860660129,0.3858620931180664
openEO Platform,job_execution_time [seconds],9,231.14395785331726,327.01185965538025,275.368676132626,35.80862276170182
openEO Platform,download_time [seconds],9,33.94315028190613,44.18864417076111,38.41841202312045,3.6659658071144707
openEO Platform,total_time [seconds],9,271.68685960769653,365.34154772758484,316.83629393577576,35.74014821983348
openEO Platform,queue_time [seconds],9,28.735632,86.741225,57.51187011111111,15.816458542031345
openEO Platform,processing_time [seconds],9,152.633806,242.817271,188.841523,30.929880589385682
openEO Platform,tiff_count [files],9,24.0,24.0,24.0,0.0
