Backends;URL;Timestamp;Response Time (ms);HTTP Code;Reason;Valid;Body Size (bytes)
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/.well-known/openeo;1750291202.069421;206.75;200;OK;True;318
eodc;https://openeo.eodc.eu/.well-known/openeo;1750291202.069421;228.62;200;OK;True;188
openeo-platform;https://openeocloud.vito.be/.well-known/openeo;1750291202.069421;104.39;200;OK;True;285
vito;https://openeo.vito.be/.well-known/openeo;1750291202.069421;93.74;200;OK;True;270
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo;1750291202.069421;406.09;200;OK;True;3349
eodc;https://openeo.eodc.eu/openeo/1.2.0;1750291202.069421;196.57;200;OK;True;3332
openeo-platform;https://openeocloud.vito.be/openeo/1.2;1750291202.069421;617.43;200;OK;True;3790
vito;https://openeo.vito.be/openeo;1750291202.069421;142.53;200;OK;True;3487
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/processes;1750291202.069421;1021.78;200;OK;True;1169130
eodc;https://openeo.eodc.eu/openeo/1.2.0/processes;1750291202.069421;410.29;200;OK;True;344516
openeo-platform;https://openeocloud.vito.be/openeo/1.2/processes;1750291202.069421;293.18;200;OK;True;340380
vito;https://openeo.vito.be/openeo/processes;1750291202.069421;370.16;200;OK;True;1176966
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/collections;1750291202.069421;213.81;200;OK;True;39327
eodc;https://openeo.eodc.eu/openeo/1.2.0/collections;1750291202.069421;512.62;200;OK;True;157154
openeo-platform;https://openeocloud.vito.be/openeo/1.2/collections;1750291202.069421;386.37;200;OK;True;310810
vito;https://openeo.vito.be/openeo/collections;1750291202.069421;190.59;200;OK;True;184045
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/.well-known/openeo;1750291801.791059;219.18;200;OK;True;318
eodc;https://openeo.eodc.eu/.well-known/openeo;1750291801.791059;294.04;200;OK;True;188
openeo-platform;https://openeocloud.vito.be/.well-known/openeo;1750291801.791059;88.24;200;OK;True;285
vito;https://openeo.vito.be/.well-known/openeo;1750291801.791059;94.95;200;OK;True;270
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo;1750291801.791059;179.61;200;OK;True;3349
eodc;https://openeo.eodc.eu/openeo/1.2.0;1750291801.791059;195.03;200;OK;True;3332
openeo-platform;https://openeocloud.vito.be/openeo/1.2;1750291801.791059;635.39;200;OK;True;3790
vito;https://openeo.vito.be/openeo;1750291801.791059;165.5;200;OK;True;3487
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/processes;1750291801.791059;1506.72;200;OK;True;1169130
eodc;https://openeo.eodc.eu/openeo/1.2.0/processes;1750291801.791059;422.94;200;OK;True;344516
openeo-platform;https://openeocloud.vito.be/openeo/1.2/processes;1750291801.791059;199.46;200;OK;True;340380
vito;https://openeo.vito.be/openeo/processes;1750291801.791059;290.51;200;OK;True;1176966
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/collections;1750291801.791059;181.15;200;OK;True;39327
eodc;https://openeo.eodc.eu/openeo/1.2.0/collections;1750291801.791059;671.37;200;OK;True;157154
openeo-platform;https://openeocloud.vito.be/openeo/1.2/collections;1750291801.791059;202.67;200;OK;True;312769
vito;https://openeo.vito.be/openeo/collections;1750291801.791059;171.04;200;OK;True;184045
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/.well-known/openeo;1750292401.622145;186.98;200;OK;True;318
eodc;https://openeo.eodc.eu/.well-known/openeo;1750292401.622145;214.57;200;OK;True;188
openeo-platform;https://openeocloud.vito.be/.well-known/openeo;1750292401.622145;113.06;200;OK;True;285
vito;https://openeo.vito.be/.well-known/openeo;1750292401.622145;89.72;200;OK;True;270
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo;1750292401.622145;220.54;200;OK;True;3349
eodc;https://openeo.eodc.eu/openeo/1.2.0;1750292401.622145;199.33;200;OK;True;3332
openeo-platform;https://openeocloud.vito.be/openeo/1.2;1750292401.622145;605.14;200;OK;True;3790
vito;https://openeo.vito.be/openeo;1750292401.622145;128.2;200;OK;True;3487
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/processes;1750292401.622145;1025.15;200;OK;True;1169130
eodc;https://openeo.eodc.eu/openeo/1.2.0/processes;1750292401.622145;412.21;200;OK;True;344516
openeo-platform;https://openeocloud.vito.be/openeo/1.2/processes;1750292401.622145;221.56;200;OK;True;340380
vito;https://openeo.vito.be/openeo/processes;1750292401.622145;362.12;200;OK;True;1176966
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/collections;1750292401.622145;171.66;200;OK;True;39327
eodc;https://openeo.eodc.eu/openeo/1.2.0/collections;1750292401.622145;437.57;200;OK;True;157154
openeo-platform;https://openeocloud.vito.be/openeo/1.2/collections;1750292401.622145;159.39;200;OK;True;312769
vito;https://openeo.vito.be/openeo/collections;1750292401.622145;167.28;200;OK;True;184045
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/.well-known/openeo;1750293001.630954;180.34;200;OK;True;318
eodc;https://openeo.eodc.eu/.well-known/openeo;1750293001.630954;256.73;200;OK;True;188
openeo-platform;https://openeocloud.vito.be/.well-known/openeo;1750293001.630954;103.85;200;OK;True;285
vito;https://openeo.vito.be/.well-known/openeo;1750293001.630954;89.63;200;OK;True;270
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo;1750293001.630954;;Timeout;Request timed out;False;0
eodc;https://openeo.eodc.eu/openeo/1.2.0;1750293001.630954;203.48;200;OK;True;3332
openeo-platform;https://openeocloud.vito.be/openeo/1.2;1750293001.630954;620.81;200;OK;True;3790
vito;https://openeo.vito.be/openeo;1750293001.630954;141.98;200;OK;True;3487
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/processes;1750293001.630954;982.82;200;OK;True;1169130
eodc;https://openeo.eodc.eu/openeo/1.2.0/processes;1750293001.630954;406.61;200;OK;True;344516
openeo-platform;https://openeocloud.vito.be/openeo/1.2/processes;1750293001.630954;227.97;200;OK;True;340380
vito;https://openeo.vito.be/openeo/processes;1750293001.630954;384.34;200;OK;True;1176966
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/collections;1750293001.630954;164.82;200;OK;True;39327
eodc;https://openeo.eodc.eu/openeo/1.2.0/collections;1750293001.630954;721.29;200;OK;True;157154
openeo-platform;https://openeocloud.vito.be/openeo/1.2/collections;1750293001.630954;166.01;200;OK;True;312769
vito;https://openeo.vito.be/openeo/collections;1750293001.630954;177.27;200;OK;True;186035
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/.well-known/openeo;1750293601.763036;211.15;200;OK;True;318
eodc;https://openeo.eodc.eu/.well-known/openeo;1750293601.763036;336.83;200;OK;True;188
openeo-platform;https://openeocloud.vito.be/.well-known/openeo;1750293601.763036;103.96;200;OK;True;285
vito;https://openeo.vito.be/.well-known/openeo;1750293601.763036;88.26;200;OK;True;270
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo;1750293601.763036;232.62;200;OK;True;3349
eodc;https://openeo.eodc.eu/openeo/1.2.0;1750293601.763036;201.09;200;OK;True;3332
openeo-platform;https://openeocloud.vito.be/openeo/1.2;1750293601.763036;119.24;200;OK;True;3790
vito;https://openeo.vito.be/openeo;1750293601.763036;145.61;200;OK;True;3487
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/processes;1750293601.763036;1050.15;200;OK;True;1169130
eodc;https://openeo.eodc.eu/openeo/1.2.0/processes;1750293601.763036;415.75;200;OK;True;344516
openeo-platform;https://openeocloud.vito.be/openeo/1.2/processes;1750293601.763036;179.42;200;OK;True;340380
vito;https://openeo.vito.be/openeo/processes;1750293601.763036;310.42;200;OK;True;1176966
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/collections;1750293601.763036;161.87;200;OK;True;39327
