Backends;URL;Timestamp;Response Time (ms);HTTP Code;Reason;Valid;Body Size (bytes)
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/.well-known/openeo;1750464001.743611;219.78;200;OK;True;318
eodc;https://openeo.eodc.eu/.well-known/openeo;1750464001.743611;208.52;200;OK;True;188
openeo-platform;https://openeocloud.vito.be/.well-known/openeo;1750464001.743611;148.67;200;OK;True;285
vito;https://openeo.vito.be/.well-known/openeo;1750464001.743611;166.27;200;OK;True;270
EO4EU;https://umm-api.apps.eo4eu.eu/EO/.well-known/openeo;1750464001.743611;155.13;200;OK;True;98
eurac;https://openeo.eurac.edu/.well-known/openeo;1750464001.743611;219.43;200;;True;90
earth-engine;https://earthengine.openeo.org/.well-known/openeo;1750464001.743611;129.86;200;OK;True;101
mundialis;https://openeo.mundialis.de/.well-known/openeo;1750464001.743611;96.04;200;OK;True;104
sentinel-hub;https://openeo.sentinel-hub.com/production/.well-known/openeo;1750464001.743611;86.96;200;OK;True;109
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo;1750464001.743611;196.8;200;OK;True;3331
eodc;https://openeo.eodc.eu/openeo/1.2.0;1750464001.743611;202.9;200;OK;True;3332
openeo-platform;https://openeocloud.vito.be/openeo/1.2;1750464001.743611;179.06;200;OK;True;3790
vito;https://openeo.vito.be/openeo;1750464001.743611;237.21;200;OK;True;3469
EO4EU;https://umm-api.apps.eo4eu.eu/EO;1750464001.743611;191.54;200;OK;True;2264
eurac;https://openeo.eurac.edu;1750464001.743611;214.59;200;;True;1709
earth-engine;https://earthengine.openeo.org/v1.0;1750464001.743611;135.04;200;OK;True;3765
mundialis;https://openeo.mundialis.de/api/v1.0;1750464001.743611;147.52;200;OK;True;1497
sentinel-hub;https://openeo.sentinel-hub.com/production;1750464001.743611;95.06;200;OK;True;2587
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/processes;1750464001.743611;1460.14;200;OK;True;1170374
eodc;https://openeo.eodc.eu/openeo/1.2.0/processes;1750464001.743611;409.98;200;OK;True;344516
openeo-platform;https://openeocloud.vito.be/openeo/1.2/processes;1750464001.743611;512.77;200;OK;True;340380
vito;https://openeo.vito.be/openeo/processes;1750464001.743611;758.7;200;OK;True;1176966
EO4EU;https://umm-api.apps.eo4eu.eu/EO/processes;1750464001.743611;594.09;200;OK;True;145158
eurac;https://openeo.eurac.edu/processes;1750464001.743611;450.49;200;;True;142214
earth-engine;https://earthengine.openeo.org/v1.0/processes;1750464001.743611;189.0;200;OK;True;145158
mundialis;https://openeo.mundialis.de/api/v1.0/processes;1750464001.743611;157.91;200;OK;True;107511
sentinel-hub;https://openeo.sentinel-hub.com/production/processes;1750464001.743611;148.26;200;OK;True;174132
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/collections;1750464001.743611;215.1;200;OK;True;39406
eodc;https://openeo.eodc.eu/openeo/1.2.0/collections;1750464001.743611;477.2;200;OK;True;157154
openeo-platform;https://openeocloud.vito.be/openeo/1.2/collections;1750464001.743611;648.33;200;OK;True;311375
vito;https://openeo.vito.be/openeo/collections;1750464001.743611;276.88;200;OK;True;184656
EO4EU;https://umm-api.apps.eo4eu.eu/EO/collections;1750464001.743611;1588.59;200;OK;True;2579286
eurac;https://openeo.eurac.edu/collections;1750464001.743611;516.18;200;;True;267222
earth-engine;https://earthengine.openeo.org/v1.0/collections;1750464001.743611;368.56;200;OK;True;2579286
mundialis;https://openeo.mundialis.de/api/v1.0/collections;1750464001.743611;156.59;200;OK;True;14684
sentinel-hub;https://openeo.sentinel-hub.com/production/collections;1750464001.743611;106.11;200;OK;True;140568
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/.well-known/openeo;1750464601.299944;225.92;200;OK;True;318
eodc;https://openeo.eodc.eu/.well-known/openeo;1750464601.299944;297.37;200;OK;True;188
openeo-platform;https://openeocloud.vito.be/.well-known/openeo;1750464601.299944;128.39;200;OK;True;285
vito;https://openeo.vito.be/.well-known/openeo;1750464601.299944;173.23;200;OK;True;270
EO4EU;https://umm-api.apps.eo4eu.eu/EO/.well-known/openeo;1750464601.299944;1122.84;200;OK;True;98
eurac;https://openeo.eurac.edu/.well-known/openeo;1750464601.299944;215.1;200;;True;90
earth-engine;https://earthengine.openeo.org/.well-known/openeo;1750464601.299944;134.33;200;OK;True;101
mundialis;https://openeo.mundialis.de/.well-known/openeo;1750464601.299944;93.54;200;OK;True;104
sentinel-hub;https://openeo.sentinel-hub.com/production/.well-known/openeo;1750464601.299944;79.69;200;OK;True;109
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo;1750464601.299944;213.46;200;OK;True;3331
eodc;https://openeo.eodc.eu/openeo/1.2.0;1750464601.299944;323.92;200;OK;True;3332
openeo-platform;https://openeocloud.vito.be/openeo/1.2;1750464601.299944;187.02;200;OK;True;3790
vito;https://openeo.vito.be/openeo;1750464601.299944;227.25;200;OK;True;3469
EO4EU;https://umm-api.apps.eo4eu.eu/EO;1750464601.299944;179.06;200;OK;True;2264
eurac;https://openeo.eurac.edu;1750464601.299944;176.19;200;;True;1709
earth-engine;https://earthengine.openeo.org/v1.0;1750464601.299944;148.16;200;OK;True;3765
mundialis;https://openeo.mundialis.de/api/v1.0;1750464601.299944;138.75;200;OK;True;1497
sentinel-hub;https://openeo.sentinel-hub.com/production;1750464601.299944;96.39;200;OK;True;2587
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/processes;1750464601.299944;1617.7;200;OK;True;1170374
eodc;https://openeo.eodc.eu/openeo/1.2.0/processes;1750464601.299944;413.63;200;OK;True;344516
openeo-platform;https://openeocloud.vito.be/openeo/1.2/processes;1750464601.299944;297.5;200;OK;True;340380
vito;https://openeo.vito.be/openeo/processes;1750464601.299944;840.86;200;OK;True;1176966
EO4EU;https://umm-api.apps.eo4eu.eu/EO/processes;1750464601.299944;816.82;200;OK;True;145158
eurac;https://openeo.eurac.edu/processes;1750464601.299944;432.58;200;;True;142214
earth-engine;https://earthengine.openeo.org/v1.0/processes;1750464601.299944;218.36;200;OK;True;145158
mundialis;https://openeo.mundialis.de/api/v1.0/processes;1750464601.299944;157.76;200;OK;True;107511
sentinel-hub;https://openeo.sentinel-hub.com/production/processes;1750464601.299944;181.35;200;OK;True;174132
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo/collections;1750464601.299944;214.44;200;OK;True;39406
eodc;https://openeo.eodc.eu/openeo/1.2.0/collections;1750464601.299944;666.74;200;OK;True;157154
openeo-platform;https://openeocloud.vito.be/openeo/1.2/collections;1750464601.299944;256.45;200;OK;True;311375
vito;https://openeo.vito.be/openeo/collections;1750464601.299944;743.93;200;OK;True;184656
EO4EU;https://umm-api.apps.eo4eu.eu/EO/collections;1750464601.299944;899.59;200;OK;True;2579286
eurac;https://openeo.eurac.edu/collections;1750464601.299944;508.03;200;;True;267222
earth-engine;https://earthengine.openeo.org/v1.0/collections;1750464601.299944;401.25;200;OK;True;2579286
mundialis;https://openeo.mundialis.de/api/v1.0/collections;1750464601.299944;144.87;200;OK;True;14684
sentinel-hub;https://openeo.sentinel-hub.com/production/collections;1750464601.299944;121.59;200;OK;True;140568
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/.well-known/openeo;1750465201.834225;341.64;200;OK;True;318
eodc;https://openeo.eodc.eu/.well-known/openeo;1750465201.834225;222.8;200;OK;True;188
openeo-platform;https://openeocloud.vito.be/.well-known/openeo;1750465201.834225;150.9;200;OK;True;285
vito;https://openeo.vito.be/.well-known/openeo;1750465201.834225;205.8;200;OK;True;270
EO4EU;https://umm-api.apps.eo4eu.eu/EO/.well-known/openeo;1750465201.834225;257.57;200;OK;True;98
eurac;https://openeo.eurac.edu/.well-known/openeo;1750465201.834225;218.58;200;;True;90
earth-engine;https://earthengine.openeo.org/.well-known/openeo;1750465201.834225;131.4;200;OK;True;101
mundialis;https://openeo.mundialis.de/.well-known/openeo;1750465201.834225;95.33;200;OK;True;104
sentinel-hub;https://openeo.sentinel-hub.com/production/.well-known/openeo;1750465201.834225;89.98;200;OK;True;109
copernicus-dataspace;https://openeo.dataspace.copernicus.eu/openeo;1750465201.834225;219.03;200;OK;True;3331
eodc;https://openeo.eodc.eu/openeo/1.2.0;1750465201.834225;213.16;200;OK;True;3332
openeo-platform;https://openeocloud.vito.be/openeo/1.2;1750465201.834225;761.72;200;OK;True;3790
vito;https://openeo.vito.be/openeo;1750465201.834225;201.59;200;OK;True;3469
EO4EU;https://umm-api.apps.eo4eu.eu/EO;1750465201.834225;190.41;200;OK;True;2264
eurac;https://openeo.eurac.edu;1750465201.834225;214.1;200;;True;1709
